id;target
1;0.39650816
2;0.36410004
3;0.09929454
4;0.05488932
5;0.47633058
6;0.45207936
7;0.31808937
8;0.332012
9;0.23250088
10;0.2607376
11;0.45032465
12;0.64512753
13;0.33080393
14;0.5124299
15;0.046070457
16;0.21699688
17;0.7880297
18;0.27643508
19;0.42744482
20;0.2977713
21;0.37485182
22;0.41872662
23;0.5906064
24;0.15730762
25;0.3918737
26;0.3904073
27;0.30695325
28;0.25934535
29;0.26791042
30;0.38320345
31;0.37357742
32;0.5118846
33;0.25026724
34;0.033129543
35;0.52226156
36;0.059075683
37;0.4989429
38;0.42148918
39;0.11420834
40;0.44714445
41;0.4385168
42;0.38229126
43;0.5125858
44;0.4875167
45;0.114822656
46;0.13688862
47;0.12612566
48;0.44673586
49;0.38596797
50;0.44867253
51;0.43344766
52;0.21107456
53;0.24222746
54;0.33593848
55;0.20603874
56;0.40780643
57;0.44058135
58;0.43040732
59;0.2780745
60;0.33848125
61;0.43093905
62;0.3719922
63;0.04083377
64;0.4411365
65;0.30025807
66;0.4190704
67;0.48477483
68;0.11716607
69;0.40050557
70;0.046330273
71;0.04923898
72;0.038324565
73;0.06975061
74;0.28187463
75;0.4501389
76;0.15420574
77;0.48268527
78;0.3686651
79;0.40137574
80;0.38644457
81;0.14725056
82;0.26723355
83;0.4867809
84;0.38297126
85;0.14930668
86;0.06459376
87;0.07667619
88;0.25746554
89;0.48143804
90;0.5690982
91;0.42750946
92;0.46208107
93;0.44318685
94;0.45013893
95;0.34285563
96;0.5123187
97;0.0425438
98;0.18582314
99;0.41940248
100;0.319417
101;0.4078678
102;0.36311853
103;0.58569133
104;0.3636185
105;0.39292485
106;0.38992053
107;0.18136144
108;0.3901673
109;0.52782696
110;0.40137574
111;0.36685574
112;0.3287927
113;0.3542152
114;0.059232563
115;0.50814867
116;0.39628842
117;0.3766365
118;0.06920698
119;0.13674438
120;0.41163185
121;0.4050292
122;0.3430106
123;0.25878876
124;0.4150534
125;0.39713824
126;0.10746187
127;0.49894294
128;0.4152447
129;0.222879
130;0.5503664
131;0.43056113
132;0.55901265
133;0.18435189
134;0.18981567
135;0.5347791
136;0.07101032
137;0.41201818
138;0.5347791
139;0.36773545
140;0.102160394
141;0.49145937
142;0.3605618
143;0.41823238
144;0.45404458
145;0.32865867
146;0.42118025
147;0.38954312
148;0.22636801
149;0.24710366
150;0.35881847
151;0.43564478
152;0.049001604
153;0.5092111
154;0.43323213
155;0.58695674
156;0.37803432
157;0.5282048
158;0.17936024
159;0.31836385
160;0.4102295
161;0.33830863
162;0.052648783
163;0.34950548
164;0.045280755
165;0.07085192
166;0.42650455
167;0.09902644
168;0.5327471
169;0.4867809
170;0.48647222
171;0.51367027
172;0.29337722
173;0.1693142
174;0.29664895
175;0.26885426
176;0.40219733
177;0.10992584
178;0.23314822
179;0.08775285
180;0.5279916
181;0.19280827
182;0.08844933
183;0.3034455
184;0.42971456
185;0.2036646
186;0.25634602
187;0.5347791
188;0.58298147
189;0.39011106
190;0.13202542
191;0.06288269
192;0.050424278
193;0.54620695
194;0.044450283
195;0.49970844
196;0.20865715
197;0.5177337
198;0.09752798
199;0.38878375
200;0.037587762
201;0.06072375
202;0.4965858
203;0.098132074
204;0.2803486
205;0.44166687
206;0.31854546
207;0.16627935
208;0.42865455
209;0.044720024
210;0.20292172
211;0.6501508
212;0.04244098
213;0.114424825
214;0.43263704
215;0.323555
216;0.40137574
217;0.06920698
218;0.26039097
219;0.2161609
220;0.1725243
221;0.08058652
222;0.33282033
223;0.38978142
224;0.40073878
225;0.38105738
226;0.15656355
227;0.4078678
228;0.4649482
229;0.4574909
230;0.4204247
231;0.41942403
232;0.04467967
233;0.5048589
234;0.39589733
235;0.084869355
236;0.20477682
237;0.42394674
238;0.17532238
239;0.5092111
240;0.061214805
241;0.13786015
242;0.06926587
243;0.2605428
244;0.45745617
245;0.24046835
246;0.59758383
247;0.16299501
248;0.40137574
249;0.3069399
250;0.42592382
251;0.21420136
252;0.40222397
253;0.2484313
254;0.495628
255;0.35154206
256;0.40238002
257;0.54025763
258;0.22468898
259;0.09263307
260;0.049677372
261;0.44885096
262;0.31575346
263;0.36722684
264;0.41234684
265;0.5503664
266;0.35088575
267;0.22782367
268;0.28812376
269;0.37823194
270;0.42101017
271;0.47795776
272;0.35922846
273;0.44975603
274;0.4120359
275;0.30346566
276;0.25866097
277;0.5655627
278;0.4575156
279;0.03651595
280;0.41949996
281;0.17905122
282;0.36228558
283;0.3589465
284;0.2547063
285;0.050569057
286;0.3058893
287;0.24962172
288;0.4576118
289;0.16755259
290;0.43481433
291;0.31538504
292;0.68384963
293;0.15617329
294;0.057162672
295;0.33133614
296;0.061429083
297;0.40143487
298;0.47586063
299;0.4733495
300;0.40137574
301;0.25049555
302;0.34334788
303;0.3145985
304;0.46094626
305;0.13360688
306;0.2318913
307;0.44375226
308;0.40057743
309;0.48233873
310;0.15057549
311;0.36970502
312;0.4661866
313;0.47531164
314;0.8874064
315;0.4900095
316;0.043000013
317;0.5083022
318;0.06601581
319;0.4856024
320;0.2774995
321;0.35784024
322;0.43380353
323;0.43735868
324;0.31022203
325;0.3400518
326;0.06899288
327;0.4439842
328;0.5246801
329;0.072594315
330;0.5536546
331;0.4955792
332;0.084747404
333;0.27322182
334;0.4100252
335;0.05835715
336;0.2702039
337;0.4406945
338;0.41063702
339;0.35377818
340;0.43435442
341;0.3196339
342;0.40137574
343;0.42108792
344;0.21834627
345;0.46346843
346;0.43030962
347;0.10895288
348;0.35306033
349;0.4092133
350;0.38058698
351;0.5423047
352;0.4881488
353;0.48409727
354;0.25671566
355;0.046874076
356;0.12404585
357;0.5446835
358;0.2572265
359;0.42706048
360;0.39650816
361;0.33902317
362;0.4574909
363;0.5649187
364;0.06399223
365;0.39769092
366;0.41685542
367;0.29823726
368;0.31461328
369;0.4798123
370;0.41404858
371;0.4311027
372;0.07079288
373;0.40137574
374;0.4158554
375;0.37559563
376;0.63792026
377;0.40177634
378;0.06755075
379;0.064703375
380;0.35698342
381;0.6501508
382;0.31958058
383;0.34259945
384;0.48297212
385;0.28307742
386;0.2710371
387;0.40137574
388;0.16166902
389;0.34115234
390;0.31873763
391;0.39752567
392;0.3304286
393;0.2482127
394;0.42063385
395;0.301686
396;0.42614022
397;0.4268026
398;0.5403863
399;0.45079556
400;0.4341561
401;0.22495061
402;0.46830586
403;0.36567461
404;0.39911193
405;0.053892106
406;0.479546
407;0.2572894
408;0.4262702
409;0.3257506
410;0.46926385
411;0.16612062
412;0.8874064
413;0.41335523
414;0.42118028
415;0.30942726
416;0.48403448
417;0.30354404
418;0.349363
419;0.38215017
420;0.15073112
421;0.5729361
422;0.12269595
423;0.08272588
424;0.52025795
425;0.50914514
426;0.3745996
427;0.10278514
428;0.47879237
429;0.46728426
430;0.48787484
431;0.37130797
432;0.45582768
433;0.34785473
434;0.34268743
435;0.41791797
436;0.33720958
437;0.5017028
438;0.35580838
439;0.18087685
440;0.124325216
441;0.4681963
442;0.48879677
443;0.08696863
444;0.29654506
445;0.5279916
446;0.05597827
447;0.41489297
448;0.3140887
449;0.5279916
450;0.36455792
451;0.93597794
452;0.21296826
453;0.21193928
454;0.33636248
455;0.36168745
456;0.25129953
457;0.43874854
458;0.41438174
459;0.56290984
460;0.5347791
461;0.4574909
462;0.42118025
463;0.27243614
464;0.1896798
465;0.2716884
466;0.2715236
467;0.20657283
468;0.5439949
469;0.25791466
470;0.5404173
471;0.4032418
472;0.44667226
473;0.49490678
474;0.07921192
475;0.4414654
476;0.3454192
477;0.30734986
478;0.33933195
479;0.3065654
480;0.3138684
481;0.34519905
482;0.3970223
483;0.42161077
484;0.06702912
485;0.29757935
486;0.39875376
487;0.5368397
488;0.16166672
489;0.31808126
490;0.24050424
491;0.4503879
492;0.5724158
493;0.3506852
494;0.35618252
495;0.4794505
496;0.21735236
497;0.0621756
498;0.22211462
499;0.47705838
500;0.3497616
501;0.39623374
502;0.44318295
503;0.042971015
504;0.35253775
505;0.06639105
506;0.37468064
507;0.41652003
508;0.40942937
509;0.2527876
510;0.31991062
511;0.52874166
512;0.17683366
513;0.3803091
514;0.2519617
515;0.34910536
516;0.048633635
517;0.17894945
518;0.55255014
519;0.087987006
520;0.48324957
521;0.16908434
522;0.38322294
523;0.50947434
524;0.046353936
525;0.42214316
526;0.3123818
527;0.05502978
528;0.42118025
529;0.41652003
530;0.39537004
531;0.18322796
532;0.21144506
533;0.45690286
534;0.1699472
535;0.12865642
536;0.15669322
537;0.06188512
538;0.445171
539;0.40966988
540;0.51235956
541;0.37978113
542;0.15423182
543;0.3873265
544;0.076592535
545;0.4955792
546;0.3318864
547;0.36716598
548;0.16429886
549;0.3835107
550;0.3912909
551;0.53620803
552;0.42997068
553;0.2192001
554;0.0712187
555;0.33415234
